,Employee_ID,Department,Age,Salary,Experience,Gender
0,1,Data Scientist,38,177470,14,Female
1,2,Data Analyst,19,115622,21,Male
2,3,AI Architect,43,101839,21,Female
3,4,Data Analyst,30,135251,22,Male
4,5,Data Analyst,54,162645,24,Male
5,6,Data Scientist,23,69711,6,Female
6,7,Tester,45,195952,1,Female
7,8,AI Architect,43,194469,13,Male
8,9,HR,29,123206,13,Female
9,10,Tester,22,77196,9,Male
10,11,Data Analyst,34,181155,19,Male
11,12,AI Architect,37,88127,10,Male
12,13,HR,40,39044,8,Female
13,14,Developer,19,199624,11,Female
14,15,Developer,31,42673,20,Male
15,16,Data Scientist,57,87251,2,Female
16,17,AI Architect,23,125333,10,Female
17,18,AI Architect,56,28465,21,Female
18,19,Data Analyst,39,47316,24,Male
19,20,Data Analyst,24,111552,0,Male
20,21,Tester,45,148780,8,Female
21,22,Tester,33,179043,13,Female
22,23,AI Architect,48,167751,13,Female
23,24,AI Architect,29,139206,8,Male
24,25,Data Analyst,51,155471,14,Male
25,26,Tester,50,153635,16,Female
26,27,AI Architect,51,122294,24,Female
27,28,Tester,43,128089,5,Female
28,29,Data Analyst,57,100886,3,Female
29,30,AI Architect,45,40657,22,Female
30,31,Data Scientist,48,172223,10,Male
31,32,Developer,56,165529,14,Male
32,33,Data Scientist,55,178924,18,Female
33,34,HR,47,146998,3,Female
34,35,Developer,35,63621,22,Male
35,36,HR,53,183128,11,Female
36,37,Data Scientist,33,174019,24,Male
37,38,Developer,37,134996,8,Female
38,39,HR,28,190970,15,Male
39,40,AI Architect,48,126605,13,Female
40,41,Data Scientist,48,182670,19,Male
41,42,AI Architect,58,100230,2,Female
42,43,Data Analyst,46,186472,2,Female
43,44,Data Scientist,21,139707,0,Male
44,45,Data Scientist,53,49595,21,Male
45,46,HR,21,153090,13,Male
46,47,Developer,50,141091,0,Female
47,48,Developer,25,129615,14,Female
48,49,Data Analyst,59,49410,11,Female
49,50,HR,26,70596,9,Male
50,51,Tester,50,42585,7,Female
51,52,AI Architect,56,28159,18,Female
52,53,Developer,48,27330,15,Female
53,54,Data Scientist,29,59330,19,Male
54,55,AI Architect,59,25939,23,Male
55,56,Tester,25,145068,0,Male
56,57,Data Analyst,27,82532,3,Female
57,58,Data Analyst,51,193804,18,Male
58,59,Data Scientist,31,130907,1,Male
59,60,AI Architect,24,188535,9,Female
60,61,AI Architect,27,58683,12,Female
61,62,HR,20,103481,23,Male
62,63,Data Analyst,40,179314,13,Female
63,64,Developer,56,79665,21,Male
64,65,HR,49,38643,1,Female
65,66,HR,26,93085,0,Female
66,67,Data Scientist,41,57918,2,Female
67,68,AI Architect,33,78579,14,Female
68,69,Data Scientist,35,120435,0,Male
69,70,Developer,46,93177,0,Female
70,71,Data Analyst,33,153000,10,Female
71,72,Data Scientist,48,170376,9,Male
72,73,Tester,53,54172,10,Female
73,74,AI Architect,28,179809,4,Male
74,75,Data Analyst,28,84118,12,Female
75,76,AI Architect,21,104487,6,Male
76,77,Data Scientist,41,34891,7,Female
77,78,Developer,51,37152,7,Male
78,79,Data Analyst,30,173834,17,Male
79,80,Data Analyst,28,98639,17,Male
80,81,HR,19,189244,7,Male
81,82,AI Architect,51,55310,15,Male
82,83,Data Scientist,39,156066,16,Male
83,84,AI Architect,46,40359,24,Female
84,85,Data Scientist,54,148934,20,Male
85,86,Data Analyst,56,154192,22,Male
86,87,Developer,33,183867,20,Male
87,88,Developer,49,172466,7,Male
88,89,Data Scientist,27,56726,1,Male
89,90,Data Scientist,31,116207,23,Male
90,91,Tester,19,57472,4,Female
91,92,Data Scientist,36,137877,0,Female
92,93,Tester,57,191365,23,Male
93,94,Developer,55,159949,3,Male
94,95,HR,36,169876,18,Female
95,96,Data Scientist,37,54744,16,Male
96,97,Data Scientist,37,198054,10,Female
97,98,Data Analyst,52,168366,19,Female
98,99,Data Analyst,33,88027,0,Female
99,100,Data Analyst,46,117591,10,Female
100,101,AI Architect,51,72365,10,Female
101,102,HR,28,79122,8,Female
102,103,HR,37,55006,22,Female
103,104,Data Scientist,46,83220,16,Male
104,105,Tester,19,140620,24,Female
105,106,Data Scientist,18,55767,12,Female
106,107,AI Architect,53,196692,3,Female
107,108,HR,58,80877,18,Female
108,109,Data Analyst,52,189062,13,Male
109,110,HR,58,157883,15,Male
110,111,Data Analyst,33,53088,21,Male
111,112,Data Scientist,58,90969,12,Female
112,113,Data Scientist,42,183975,9,Male
113,114,Data Scientist,32,73084,15,Female
114,115,Data Analyst,20,85412,14,Female
115,116,Data Scientist,47,145032,2,Male
116,117,HR,24,194833,2,Female
117,118,HR,34,33244,22,Female
118,119,Developer,56,35441,21,Male
119,120,Tester,38,30874,15,Male
120,121,HR,20,118689,9,Male
121,122,Data Analyst,21,124454,24,Female
122,123,AI Architect,27,158235,14,Female
123,124,Developer,53,39638,13,Female
124,125,HR,55,176484,9,Male
125,126,AI Architect,58,51021,11,Male
126,127,Developer,29,113160,14,Female
127,128,HR,38,141370,12,Male
128,129,HR,19,115948,24,Male
129,130,Tester,25,126012,19,Female
130,131,Developer,53,93536,9,Male
131,132,Data Analyst,21,35691,19,Female
132,133,Tester,42,111177,1,Female
